YEAR,AGE_GROUP,TYPE,AREA,UNIT
2013,141...,protected,11.20,kha
2013,131...140,protected,5.10,kha
2013,121...130,protected,6.60,kha
2013,111...120,protected,7.50,kha
2013,101...110,protected,9.20,kha
2013,91...100,protected,18.50,kha
2013,81...90,protected,19.10,kha
2013,71...80,protected,32.10,kha
2013,61...70,protected,40.80,kha
2013,51...60,protected,31.90,kha
2013,41...50,protected,31.50,kha
2013,31...40,protected,16.90,kha
2013,21...30,protected,11.00,kha
2013,11...20,protected,7.90,kha
2013,...10,protected,2.70,kha
2013,unknown,protected,3.30,kha
2013,clearcut,protected,2.40,kha
2014,141...,production,8.40,kha
2014,131...140,production,7.50,kha
2014,121...130,production,12.00,kha
2014,111...120,production,16.50,kha
2014,101...110,production,37.60,kha
2014,91...100,production,64.60,kha
2014,81...90,production,104.50,kha
2014,71...80,production,175.10,kha
2014,61...70,production,240.20,kha
2014,51...60,production,251.60,kha
2014,41...50,production,265.50,kha
2014,31...40,production,224.10,kha
2014,21...30,production,146.80,kha
2014,11...20,production,183.20,kha
2014,...10,production,144.10,kha
2014,unknown,production,87.70,kha
2014,clearcut,production,66.60,kha
2014,141...,protected,13.10,kha
2014,131...140,protected,5.40,kha
2014,121...130,protected,7.80,kha
2014,111...120,protected,7.90,kha
2014,101...110,protected,11.00,kha
2014,91...100,protected,18.40,kha
2014,81...90,protected,21.80,kha
2014,71...80,protected,30.80,kha
2014,61...70,protected,38.10,kha
2014,51...60,protected,30.40,kha
2014,41...50,protected,30.70,kha
2014,31...40,protected,18.60,kha
2014,21...30,protected,9.90,kha
2014,11...20,protected,7.30,kha
2014,...10,protected,3.00,kha
2014,unknown,protected,2.90,kha
2014,clearcut,protected,2.10,kha
2015,141...,production,8.10,kha
2015,131...140,production,9.20,kha
2015,121...130,production,8.40,kha
2015,111...120,production,18.40,kha
2015,101...110,production,35.40,kha
2015,91...100,production,62.20,kha
2015,81...90,production,104.40,kha
2015,71...80,production,171.20,kha
2015,61...70,production,237.00,kha
2015,51...60,production,253.10,kha
2015,41...50,production,248.40,kha
2015,31...40,production,214.60,kha
2015,21...30,production,149.00,kha
2015,11...20,production,192.60,kha
