Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;15,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;13,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;11,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;11,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;12,3
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;41...50;10,7
