Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;51...60;237,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;335,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;329,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;339,8
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;330,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;337,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;336,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;332,5
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;325,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;322,1
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;312,8
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;316,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;325,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;322,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;317,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;311,9
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;296,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;282,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;269,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;269,9
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;265,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;258,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;244,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;234,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;219,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;213,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;41...50;204,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;31...40;325,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;31...40;289,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;31...40;301,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;31...40;293,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;31...40;295,6
