Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;3,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;5,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;5,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;5,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;5,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;5,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;3,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;3,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;2,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;2,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;2,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;2,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;2,8
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;2,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;2,5
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;1,7
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;1,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;1,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;1,4
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;51...60;1,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;3,4
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;2,3
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;3,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;4,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;4,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;4,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;5,0
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;3,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;3,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;4,1
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;4,7
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;5,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;5,5
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;5,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;5,2
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;5,0
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;4,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;4,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;3,4
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;3,5
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;2,7
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;2,6
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;2,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;41...50;2,2
