Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;11,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;12,6
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;13,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;14,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;14,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;15,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;14,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;16,0
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;15,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;16,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;16,1
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;17,6
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;17,7
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;21,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;21,9
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;22,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;23,4
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;26,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;28,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;27,4
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;28,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;25,5
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;30,3
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;31,5
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;34,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;37,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;39,9
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;45,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;49,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;49,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;49,6
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;52,0
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;54,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;53,9
