Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;21,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;20,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;25,5
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;27,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;29,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;30,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;33,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;33,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;34,0
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;33,1
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;34,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;32,3
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;31,8
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;30,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;35,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;35,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;37,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;36,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27.02.2025 13:21:59;36,3
