Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;106,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;97,8
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;95,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;89,9
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;144,8
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;164,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;164,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;164,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;169,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;176,3
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;177,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;180,5
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;184,8
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;179,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;173,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;169,9
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;170,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;169,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;169,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;175,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;171,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;165,5
